Date,AAPL,AMZN,CIEN,FB,GOOG,IRBT,SPY
2000-10-02,1.62706,35.875,849.6419699999999,,,,109.44131000000002
2000-10-03,1.49706,35.0625,770.8903799999999,,,,108.41897
2000-10-04,1.58512,36.0,801.07849,,,,109.32246
2000-10-05,1.4802899999999999,33.5625,820.32886,,,,109.70288000000001
2000-10-06,1.4886700000000002,31.5625,773.95294,,,,107.32526999999999
2000-10-09,1.4593200000000002,30.0625,772.20294,,,,106.51688
2000-10-10,1.4006100000000001,30.4375,802.7191799999999,,,,104.75745
2000-10-11,1.31675,27.8125,784.01562,,,,103.8777
2000-10-12,1.3419,25.125,794.1877400000001,,,,101.28614
2000-10-13,1.4802899999999999,28.4375,895.1428800000001,,,,104.66235
2000-10-16,1.44254,24.3125,946.22205,,,,105.13786999999999
2000-10-17,1.35029,21.9375,910.01819,,,,102.5225
2000-10-18,1.35029,25.125,868.4548300000001,,,,102.14208
2000-10-19,1.27062,27.75,979.25391,,,,105.9938
2000-10-20,1.30836,30.8125,1046.5208699999998,,,,106.44552
2000-10-23,1.36707,30.0,994.89484,,,,106.92103999999999
2000-10-24,1.26642,29.5625,947.64392,,,,106.20776000000001
2000-10-25,1.24126,31.875,758.6401400000001,,,,103.7113
2000-10-26,1.24126,36.875,721.0144,,,,103.99662
2000-10-27,1.24545,35.625,730.63959,,,,105.96999
2000-10-30,1.29577,32.875,634.8252,,,,106.92103999999999
2000-10-31,1.31255,36.625,735.8897099999999,,,,108.7637
2000-11-01,1.3754600000000001,37.375,745.07739,,,,108.39516
2000-11-02,1.49706,39.75,764.32776,,,,108.57348999999999
2000-11-03,1.4928700000000001,37.5625,793.20331,,,,108.63292
2000-11-06,1.43835,36.5625,728.01453,,,,109.39375
2000-11-07,1.42997,36.9375,723.2019700000001,,,,109.37001000000001
2000-11-08,1.3461,33.875,629.57507,,,,106.94485
2000-11-09,1.35448,31.25,629.13757,,,,106.54063000000001
2000-11-10,1.27901,30.0625,633.95013,,,,103.94906999999999
2000-11-13,1.29997,27.8125,635.7002,,,,103.14068
2000-11-14,1.3586799999999999,28.9375,728.01453,,,,105.85115
2000-11-15,1.33351,29.5,703.07654,,,,106.18401000000001
2000-11-16,1.27481,27.8125,683.82617,,,,104.51969
2000-11-17,1.24126,27.4375,731.07709,,,,103.96093
2000-11-20,1.27062,25.8125,629.57507,,,,102.47495
2000-11-21,1.26223,24.25,673.76343,,,,102.99802
2000-11-22,1.24126,25.1875,652.76306,,,,100.53716999999999
2000-11-24,1.29577,28.9375,715.76428,,,,102.5938
2000-11-27,1.25384,28.0,682.07611,,,,103.49728
2000-11-28,1.2098,25.03125,588.01172,,,,101.71410999999999
2000-11-29,1.17836,26.9375,511.01019,,,,101.5239
2000-11-30,1.10707,24.6875,531.57312,,,,100.64415
2000-12-01,1.14481,24.625,538.57324,,,,100.5966
2000-12-04,1.11965,26.5625,561.32373,,,,101.45254
2000-12-05,1.14062,25.375,698.70148,,,,104.7812
2000-12-06,0.9603,23.625,667.6383099999999,,,,103.10499
2000-12-07,0.9603,21.375,669.38837,,,,101.6903
2000-12-08,1.01062,23.4375,770.0153799999999,,,,101.92806
2000-12-11,1.01901,25.3125,822.51642,,,,105.47073
2000-12-12,1.03158,25.875,812.5631099999999,,,,105.01895
2000-12-13,1.00643,23.75,732.38965,,,,103.58051
2000-12-14,0.9686899999999999,22.6875,678.57605,,,,102.26093
2000-12-15,0.94352,22.875,705.15472,,,,99.95119
2000-12-18,0.95611,19.875,674.63849,,,,101.28674000000001
2000-12-19,0.9393299999999999,18.25,512.32275,,,,99.22381
2000-12-20,0.9645,16.6875,446.69640999999996,,,,96.35002
2000-12-21,0.94352,15.1875,419.13336,,,,97.0178
2000-12-22,1.00643,15.5625,539.01074,,,,99.92738
2000-12-26,0.98546,16.9375,519.3228799999999,,,,101.00055
2000-12-27,0.99385,16.875,559.13617,,,,101.7399
2000-12-28,0.99385,17.375,595.4494,,,,102.0499
2000-12-29,0.9980399999999999,15.5625,568.76135,,,,100.11816999999999
2001-01-02,0.9980399999999999,13.875,461.13422,,,,98.30564
2001-01-03,1.0986799999999999,17.5625,594.5744,,,,103.02775
2001-01-04,1.14481,15.5,577.0740400000001,,,,101.91871
2001-01-05,1.0986799999999999,14.5625,518.01031,,,,98.59184
2001-01-08,1.11127,14.9375,524.13544,,,,99.355
2001-01-09,1.1532,16.375,501.38500999999997,,,,99.09263
2001-01-10,1.11127,16.5,552.57355,,,,100.83364
2001-01-11,1.20771,17.0,584.51166,,,,100.92904
2001-01-12,1.1532,17.6875,622.13745,,,,100.73824
2001-01-16,1.149,18.0625,630.45007,,,,101.38213
2001-01-17,1.12804,18.375,679.45105,,,,101.8472
